Start date,End date,Max ASY-H,Classification
1981-02-28 11:50:00,1981-03-10 11:50:00,132,Low
1982-01-28 11:30:00,1982-02-07 11:30:00,142,Low
1982-08-02 06:00:00,1982-08-12 06:00:00,147,Low
1982-10-26 19:00:00,1982-11-05 19:00:00,142,Low
1982-12-17 03:10:00,1982-12-27 03:10:00,135,Low
1983-05-06 17:55:00,1983-05-16 17:55:00,152,Low
1983-06-08 04:20:00,1983-06-18 04:20:00,136,Low
1983-08-03 04:20:00,1983-08-13 04:20:00,144,Low
1983-09-29 15:00:00,1983-10-09 15:00:00,152,Low
1983-11-06 20:30:00,1983-11-16 20:30:00,149,Low
1984-04-21 15:35:00,1984-05-01 15:35:00,144,Low
1984-07-08 07:00:00,1984-07-18 07:00:00,143,Low
1984-08-30 15:30:00,1984-09-09 15:30:00,159,Low
1984-09-14 12:30:00,1984-09-24 12:30:00,145,Low
1984-11-11 03:10:00,1984-11-21 03:10:00,142,Low
1985-02-23 03:00:00,1985-03-05 03:00:00,141,Low
1985-04-04 14:15:00,1985-04-14 14:15:00,132,Low
1985-06-04 22:20:00,1985-06-14 22:20:00,154,Low
1985-09-14 10:15:00,1985-09-24 10:15:00,142,Low
1985-09-30 20:10:00,1985-10-10 20:10:00,165,Low
1985-11-25 01:35:00,1985-12-05 01:35:00,164,Low
1985-12-08 11:20:00,1985-12-18 11:20:00,141,Low
1986-10-08 20:35:00,1986-10-18 20:35:00,142,Low
1986-10-30 00:55:00,1986-11-09 00:55:00,138,Low
1987-09-17 23:10:00,1987-09-27 23:10:00,131,Low
1987-10-06 15:25:00,1987-10-16 15:25:00,166,Low
1987-10-23 00:15:00,1987-11-02 00:15:00,148,Low
1988-01-09 19:25:00,1988-01-19 19:25:00,136,Low
1988-05-01 08:50:00,1988-05-11 08:50:00,166,Low
1988-09-06 11:05:00,1988-09-16 11:05:00,137,Low
1988-12-12 20:15:00,1988-12-22 20:15:00,138,Low
1989-12-24 21:10:00,1990-01-03 21:10:00,161,Low
1990-02-15 19:25:00,1990-02-25 19:25:00,136,Low
1990-08-27 12:40:00,1990-09-06 12:40:00,152,Low
1990-10-25 02:50:00,1990-11-04 02:50:00,131,Low
1991-08-07 15:20:00,1991-08-17 15:20:00,143,Low
1991-12-22 22:10:00,1992-01-01 22:10:00,156,Low
1992-08-18 04:40:00,1992-08-28 04:40:00,165,Low
1992-10-07 10:35:00,1992-10-17 10:35:00,135,Low
1993-01-26 09:05:00,1993-02-05 09:05:00,132,Low
1993-03-10 11:35:00,1993-03-20 11:35:00,147,Low
1993-03-31 10:25:00,1993-04-10 10:25:00,158,Low
1993-06-05 22:20:00,1993-06-15 22:20:00,147,Low
1993-08-12 00:55:00,1993-08-22 00:55:00,131,Low
1993-09-08 06:35:00,1993-09-18 06:35:00,169,Low
1993-10-30 00:20:00,1993-11-09 00:20:00,138,Low
1994-03-11 17:00:00,1994-03-21 17:00:00,137,Low
1994-04-27 03:35:00,1994-05-07 03:35:00,143,Low
1994-05-23 19:55:00,1994-06-02 19:55:00,138,Low
1994-09-28 14:10:00,1994-10-08 14:10:00,142,Low
1995-01-24 21:45:00,1995-02-03 21:45:00,135,Low
1995-03-06 22:30:00,1995-03-16 22:30:00,153,Low
1995-03-21 14:25:00,1995-03-31 14:25:00,143,Low
1995-07-11 15:55:00,1995-07-21 15:55:00,155,Low
1995-10-13 22:50:00,1995-10-23 22:50:00,131,Low
