Start date,End date,TD,Max ASY-H,classification
1981-03-03,1981-03-10,7 days,132,LOW
1981-04-11,1981-04-18,7 days,267,MODERATE
1981-05-08,1981-05-23,15 days,173,MODERATE
1981-07-23,1981-07-31,8 days,287,MODERATE
1981-10-12,1981-10-19,7 days,245,MODERATE
1982-01-31,1982-02-07,7 days,142,LOW
1982-02-27,1982-03-07,8 days,193,MODERATE
1982-07-11,1982-07-19,8 days,604,SUPERINTENSE
1982-08-05,1982-08-12,7 days,147,LOW
1982-09-04,1982-09-12,8 days,376,INTENSE
1982-09-19,1982-10-01,12 days,254,MODERATE
1982-10-29,1982-11-05,7 days,142,LOW
1982-11-22,1982-11-29,7 days,294,INTENSE
1982-12-15,1982-12-27,12 days,135,LOW
1983-01-08,1983-01-15,7 days,184,MODERATE
1983-02-02,1983-02-10,8 days,306,INTENSE
1983-05-09,1983-05-16,7 days,152,LOW
1983-05-22,1983-05-29,7 days,224,MODERATE
1983-06-11,1983-06-18,7 days,136,LOW
1983-08-06,1983-08-13,7 days,144,LOW
1983-10-02,1983-10-09,7 days,152,LOW
1983-11-09,1983-11-16,7 days,149,LOW
1984-04-02,1984-04-09,7 days,189,MODERATE
1984-04-24,1984-05-01,7 days,144,LOW
1984-07-11,1984-07-18,7 days,143,LOW
1984-09-02,1984-09-10,8 days,159,LOW
1984-09-17,1984-09-28,11 days,145,LOW
1984-11-14,1984-11-21,7 days,142,LOW
1985-02-26,1985-03-05,7 days,141,LOW
1985-04-07,1985-04-14,7 days,132,LOW
1985-04-18,1985-05-05,17 days,211,MODERATE
1985-06-07,1985-06-14,7 days,154,LOW
1985-09-17,1985-09-24,7 days,142,LOW
1985-10-03,1985-10-10,7 days,165,LOW
1985-11-27,1985-12-05,8 days,164,LOW
1985-12-11,1985-12-24,13 days,141,LOW
1986-02-05,1986-02-14,9 days,498,INTENSE
1986-09-10,1986-09-17,7 days,216,MODERATE
1986-10-11,1986-10-18,7 days,142,LOW
1986-11-02,1986-11-09,7 days,138,LOW
1987-07-27,1987-08-03,7 days,130,LOW
1987-08-23,1987-09-05,13 days,188,MODERATE
1987-09-20,1987-09-27,7 days,131,LOW
1987-10-09,1987-10-16,7 days,166,LOW
1987-10-26,1987-11-08,13 days,148,LOW
1987-11-21,1987-11-28,7 days,170,MODERATE
1988-01-04,1988-01-11,7 days,132,LOW
1988-01-12,1988-01-20,8 days,136,LOW
1988-02-13,1988-02-27,14 days,204,MODERATE
1988-03-24,1988-03-31,7 days,155,LOW
1988-04-01,1988-04-11,10 days,414,INTENSE
1988-05-04,1988-05-11,7 days,166,LOW
1988-09-09,1988-09-16,7 days,137,LOW
1988-10-08,1988-10-15,7 days,201,MODERATE
1988-11-28,1988-12-05,7 days,183,MODERATE
1988-12-15,1988-12-22,7 days,138,LOW
1988-12-23,1988-12-30,7 days,135,LOW
1989-01-18,1989-01-25,7 days,180,MODERATE
1989-03-11,1989-04-10,30 days,721,SUPERINTENSE
1989-04-24,1989-05-02,8 days,174,MODERATE
1989-05-03,1989-05-10,7 days,176,MODERATE
1989-05-21,1989-05-29,8 days,210,MODERATE
1989-06-08,1989-06-19,11 days,235,MODERATE
1989-08-13,1989-08-22,9 days,215,MODERATE
1989-08-27,1989-09-03,7 days,254,MODERATE
1989-09-13,1989-10-01,18 days,335,INTENSE
1989-10-18,1989-10-27,9 days,511,INTENSE
1989-11-15,1989-11-23,8 days,273,MODERATE
1989-11-29,1989-12-06,7 days,199,MODERATE
1989-12-27,1990-01-03,7 days,161,LOW
1990-02-18,1990-02-25,7 days,136,LOW
1990-03-18,1990-03-26,8 days,165,LOW
1990-03-28,1990-04-04,7 days,205,MODERATE
1990-04-08,1990-04-22,14 days,286,MODERATE
1990-05-24,1990-06-01,8 days,223,MODERATE
1990-06-10,1990-06-19,9 days,289,MODERATE
1990-07-26,1990-08-03,8 days,195,MODERATE
1990-08-24,1990-09-06,13 days,152,LOW
1990-10-08,1990-10-15,7 days,171,MODERATE
1990-10-28,1990-11-04,7 days,131,LOW
1990-11-25,1990-12-02,7 days,176,MODERATE
1991-03-22,1991-03-31,9 days,682,SUPERINTENSE
1991-06-02,1991-06-22,20 days,516,INTENSE
1991-07-06,1991-07-19,13 days,297,INTENSE
1991-08-10,1991-08-17,7 days,143,LOW
1991-08-28,1991-09-06,9 days,179,MODERATE
1991-09-29,1991-10-07,8 days,189,MODERATE
1991-10-26,1991-11-14,19 days,578,SUPERINTENSE
1991-11-17,1991-11-26,9 days,207,MODERATE
1991-12-25,1992-01-01,7 days,156,LOW
1992-02-01,1992-02-13,12 days,287,MODERATE
1992-02-18,1992-03-03,14 days,238,MODERATE
1992-05-08,1992-05-16,8 days,366,INTENSE
1992-06-10,1992-06-17,7 days,172,MODERATE
1992-08-21,1992-08-28,7 days,165,LOW
1992-09-07,1992-09-22,15 days,198,MODERATE
1992-09-27,1992-10-04,7 days,173,MODERATE
1992-10-10,1992-10-17,7 days,135,LOW
1993-01-29,1993-02-05,7 days,132,LOW
1993-03-13,1993-03-20,7 days,147,LOW
