Start date,End date,TD,Min SYM-H,classification
1981-02-04,1981-02-12,8 days,-153,MODERATE
1981-03-03,1981-03-11,8 days,-235,INTENSE
1981-03-12,1981-03-19,7 days,-93,LOW
1981-04-10,1981-05-02,22 days,-338,INTENSE
1981-05-07,1981-05-23,16 days,-140,MODERATE
1981-06-27,1981-07-04,7 days,-95,LOW
1981-07-21,1981-08-01,11 days,-255,INTENSE
1981-08-21,1981-08-28,7 days,-116,LOW
1981-10-09,1981-10-28,19 days,-215,MODERATE
1981-11-09,1981-11-17,8 days,-132,MODERATE
1982-01-29,1982-02-10,12 days,-118,LOW
1982-02-27,1982-03-08,9 days,-247,INTENSE
1982-03-31,1982-04-16,16 days,-165,MODERATE
1982-05-01,1982-05-08,7 days,-90,LOW
1982-07-11,1982-07-29,18 days,-420,SUPERINTENSE
1982-08-05,1982-08-12,7 days,-176,MODERATE
1982-09-04,1982-09-12,8 days,-260,INTENSE
1982-09-20,1982-10-02,12 days,-222,MODERATE
1982-10-05,1982-10-19,14 days,-105,LOW
1982-11-20,1982-12-04,14 days,-223,MODERATE
1982-12-05,1982-12-12,7 days,-91,LOW
1982-12-15,1982-12-27,12 days,-115,LOW
1983-01-08,1983-01-15,7 days,-221,MODERATE
1983-02-02,1983-02-12,10 days,-202,MODERATE
1983-02-18,1983-02-25,7 days,-95,LOW
1983-02-28,1983-03-08,8 days,-211,MODERATE
1983-03-10,1983-03-18,8 days,-119,LOW
1983-03-23,1983-03-30,7 days,-124,LOW
1983-05-15,1983-05-29,14 days,-131,MODERATE
1983-06-11,1983-06-18,7 days,-133,MODERATE
1983-08-06,1983-08-13,7 days,-154,MODERATE
1983-11-10,1983-11-17,7 days,-110,LOW
1984-01-02,1984-01-09,7 days,-94,LOW
1984-02-02,1984-02-09,7 days,-94,LOW
1984-03-26,1984-04-14,19 days,-119,LOW
1984-04-24,1984-05-02,8 days,-98,LOW
1984-05-19,1984-05-26,7 days,-92,LOW
1984-07-11,1984-07-18,7 days,-95,LOW
1984-07-30,1984-08-06,7 days,-144,MODERATE
1984-09-03,1984-09-10,7 days,-135,MODERATE
1984-09-21,1984-09-28,7 days,-110,LOW
1984-10-05,1984-10-12,7 days,-90,LOW
1984-11-13,1984-11-21,8 days,-155,MODERATE
