Start date,End date,Min SYM-H,Classification
1981-06-24 12:00:00,1981-07-04 12:00:00,-95,Low
1981-08-18 23:10:00,1981-08-28 23:10:00,-116,Low
1982-01-28 09:10:00,1982-02-07 09:10:00,-118,Low
1983-03-20 07:45:00,1983-03-30 07:45:00,-124,Low
1983-11-07 08:45:00,1983-11-17 08:45:00,-110,Low
1983-12-30 08:10:00,1984-01-09 08:10:00,-94,Low
1984-01-30 21:40:00,1984-02-09 21:40:00,-94,Low
1984-03-23 21:25:00,1984-04-02 21:25:00,-119,Low
1984-04-21 04:40:00,1984-05-01 04:40:00,-98,Low
1984-05-16 08:45:00,1984-05-26 08:45:00,-92,Low
1984-07-08 13:35:00,1984-07-18 13:35:00,-95,Low
1984-09-18 14:50:00,1984-09-28 14:50:00,-110,Low
1985-02-23 06:30:00,1985-03-05 06:30:00,-104,Low
1986-05-01 17:35:00,1986-05-11 17:35:00,-106,Low
1986-10-08 20:45:00,1986-10-18 20:45:00,-116,Low
1986-10-30 18:35:00,1986-11-09 18:35:00,-118,Low
1986-11-20 18:20:00,1986-11-30 18:20:00,-112,Low
1987-07-24 09:00:00,1987-08-03 09:00:00,-115,Low
1987-08-20 18:10:00,1987-08-30 18:10:00,-96,Low
1987-12-28 20:30:00,1988-01-07 20:30:00,-97,Low
1988-04-17 10:30:00,1988-04-27 10:30:00,-115,Low
1988-09-06 13:05:00,1988-09-16 13:05:00,-106,Low
1988-11-25 15:25:00,1988-12-05 15:25:00,-108,Low
1988-12-20 17:30:00,1988-12-30 17:30:00,-94,Low
1989-03-31 08:35:00,1989-04-10 08:35:00,-117,Low
1989-05-19 06:50:00,1989-05-29 06:50:00,-96,Low
1989-11-29 04:10:00,1989-12-09 04:10:00,-95,Low
1989-12-26 05:40:00,1990-01-05 05:40:00,-121,Low
1990-02-11 02:10:00,1990-02-21 02:10:00,-105,Low
1990-05-22 08:30:00,1990-06-01 08:30:00,-120,Low
1990-08-21 17:25:00,1990-08-31 17:25:00,-117,Low
1991-04-24 14:15:00,1991-05-04 14:15:00,-106,Low
1991-05-12 09:35:00,1991-05-22 09:35:00,-111,Low
